Year, Total Number with a Felony Record (ex- and current) , %total VAP with felony record (ex- and current) , Total African Americans with Felony Record (ex- and current) , % total African American VAP with Felony Record (ex- and current) , Total Number with Past Felony Conviction (ex-only) , %total VAP with Past Felony Conviction (ex-only) , Total African Americans with Past Felony Record (ex- only) , % total African American VAP with Past  Felony Record (ex-only) , Total Number with a Prison Record (ex- and current) , %total VAP with prison record (ex- and current) , Total African Americans with Prison Record (ex- and current) , % total African American VAP with Prison Record (ex- and current) , Total Number with Past Prison Record (ex-only) , %total VAP with Past Prison Record (ex-only) , Total African Americans with Past Prison Record (ex- only) , % total African American VAP with Past  Prison Record (ex-only) , Total Number of Males with a Felony Record (ex- and current) , %total Male VAP with felony record (ex- and current) , Total African American Males with Felony Record (ex- and current) , % total African American Male VAP with Felony Record (ex- and current) , Total Number of Males with Past Felony Conviction (ex-only) , %total Male VAP with Past Felony Conviction (ex-only) , Total African American Males with Past Felony Record (ex- only) , % total African American Male VAP with Past  Felony Record (ex-only) , Total Number of Males with a Prison Record (ex- and current) , %totalMale VAP with prison record (ex- and current) , Total African American Males with Prison Record (ex- and current) , % total African American Male VAP with Prison Record (ex- and current) , Total Number of Males with Past Prison Record (ex-only) , %total Male VAP with Past Prison Record (ex-only) , Total African American Maless with Past Prison Record (ex- only) , % total African American Male VAP with Past  Prison Record (ex-only) 
1948,"1,439,110 ",1.51 ,"414,952 ",4.75 ,"890,958 ",0.93 ,"283,403 ",3.24 ,"1,281,285 ",1.35 ,"377,646 ",4.32 ,"1,032,494 ",1.08 ,"305,758 ",3.50 ,"1,362,095 ",2.94 ,"393,298 ",9.23 ,"871,667 ",1.88 ,"274,254 ",6.43 ,"1,228,536 ",2.65 ,"361,720 ",8.49 ,"991,624 ",2.14 ,"293,262 ",6.88 
1949,"1,600,750 ",1.67 ,"452,870 ",5.13 ,"1,026,183 ",1.07 ,"315,004 ",3.57 ,"1,301,337 ",1.35 ,"382,960 ",4.34 ,"1,040,149 ",1.08 ,"307,491 ",3.48 ,"1,502,594 ",3.21 ,"426,414 ",9.91 ,"984,356 ",2.10 ,"300,749 ",6.99 ,"1,250,031 ",2.67 ,"367,470 ",8.54 ,"1,000,438 ",2.14 ,"295,348 ",6.87 
1950,"1,740,756 ",1.80 ,"497,267 ",5.59 ,"1,158,271 ",1.19 ,"352,696 ",3.96 ,"1,314,862 ",1.36 ,"398,384 ",4.48 ,"1,049,821 ",1.08 ,"319,160 ",3.58 ,"1,622,866 ",3.44 ,"465,915 ",10.74 ,"1,094,089 ",2.32 ,"333,376 ",7.68 ,"1,264,698 ",2.68 ,"382,816 ",8.82 ,"1,010,707 ",2.14 ,"306,892 ",7.07 
1951,"1,858,461 ",1.90 ,"525,473 ",5.85 ,"1,277,319 ",1.31 ,"380,265 ",4.23 ,"1,319,121 ",1.35 ,"400,710 ",4.46 ,"1,054,853 ",1.08 ,"321,192 ",3.58 ,"1,719,441 ",3.61 ,"489,126 ",11.18 ,"1,193,057 ",2.51 ,"356,262 ",8.14 ,"1,267,110 ",2.66 ,"384,584 ",8.79 ,"1,014,052 ",2.13 ,"308,435 ",7.04 
1952,"1,970,194 ",2.00 ,"551,904 ",6.09 ,"1,379,903 ",1.40 ,"403,428 ",4.45 ,"1,321,849 ",1.34 ,"402,553 ",4.44 ,"1,053,509 ",1.07 ,"321,275 ",3.55 ,"1,810,890 ",3.77 ,"510,778 ",11.57 ,"1,276,913 ",2.66 ,"375,082 ",8.49 ,"1,268,348 ",2.64 ,"385,964 ",8.74 ,"1,011,532 ",2.11 ,"308,173 ",6.98 
1953,"2,081,934 ",2.09 ,"578,124 ",6.31 ,"1,472,850 ",1.48 ,"423,912 ",4.62 ,"1,324,513 ",1.33 ,"404,324 ",4.41 ,"1,047,646 ",1.05 ,"319,911 ",3.49 ,"1,880,834 ",3.87 ,"531,977 ",11.90 ,"1,331,943 ",2.74 ,"391,515 ",8.76 ,"1,268,688 ",2.61 ,"387,010 ",8.66 ,"1,004,140 ",2.06 ,"306,349 ",6.85 
1954,"2,202,952 ",2.18 ,"606,649 ",6.54 ,"1,561,344 ",1.55 ,"443,145 ",4.77 ,"1,331,258 ",1.32 ,"407,285 ",4.39 ,"1,039,522 ",1.03 ,"317,756 ",3.42 ,"2,001,580 ",4.07 ,"555,685 ",12.28 ,"1,423,065 ",2.89 ,"406,687 ",8.99 ,"1,274,521 ",2.59 ,"389,673 ",8.61 ,"995,700 ",2.02 ,"304,105 ",6.72 
1955,"2,316,854 ",2.27 ,"632,947 ",6.74 ,"1,664,971 ",1.63 ,"465,742 ",4.96 ,"1,333,174 ",1.30 ,"408,648 ",4.35 ,"1,036,846 ",1.01 ,"317,120 ",3.37 ,"2,094,659 ",4.21 ,"577,150 ",12.60 ,"1,507,014 ",3.03 ,"424,811 ",9.27 ,"1,275,254 ",2.56 ,"390,657 ",8.53 ,"992,078 ",1.99 ,"303,188 ",6.62 
1956,"2,428,160 ",2.35 ,"658,349 ",6.93 ,"1,762,874 ",1.70 ,"486,602 ",5.12 ,"1,333,579 ",1.29 ,"409,473 ",4.31 ,"1,031,214 ",0.99 ,"315,478 ",3.32 ,"2,184,714 ",4.34 ,"597,595 ",12.89 ,"1,585,961 ",3.15 ,"441,344 ",9.52 ,"1,273,999 ",2.53 ,"390,956 ",8.43 ,"985,251 ",1.95 ,"301,190 ",6.50 
1957,"2,542,153 ",2.42 ,"684,345 ",7.09 ,"1,856,882 ",1.77 ,"506,305 ",5.24 ,"1,335,698 ",1.27 ,"410,762 ",4.25 ,"1,024,256 ",0.97 ,"313,325 ",3.24 ,"2,279,324 ",4.45 ,"619,248 ",13.15 ,"1,659,614 ",3.24 ,"456,578 ",9.70 ,"1,276,563 ",2.49 ,"392,376 ",8.33 ,"978,569 ",1.91 ,"299,142 ",6.35 
1958,"2,666,555 ",2.50 ,"713,028 ",7.27 ,"1,945,082 ",1.82 ,"524,394 ",5.35 ,"1,343,053 ",1.26 ,"413,630 ",4.22 ,"1,015,043 ",0.95 ,"310,356 ",3.16 ,"2,382,906 ",4.59 ,"643,224 ",13.46 ,"1,728,232 ",3.32 ,"470,351 ",9.84 ,"1,283,851 ",2.47 ,"395,216 ",8.27 ,"969,541 ",1.86 ,"296,252 ",6.19 
1959,"2,786,323 ",2.57 ,"740,207 ",7.44 ,"2,056,016 ",1.90 ,"548,050 ",5.50 ,"1,347,554 ",1.24 ,"415,473 ",4.17 ,"1,015,617 ",0.93 ,"310,300 ",3.11 ,"2,480,565 ",4.70 ,"665,289 ",13.71 ,"1,818,939 ",3.45 ,"489,437 ",10.08 ,"1,286,801 ",2.44 ,"396,570 ",8.17 ,"968,930 ",1.83 ,"295,851 ",6.09 
1960,"2,908,919 ",2.65 ,"767,952 ",7.60 ,"2,161,538 ",1.97 ,"570,063 ",5.64 ,"1,352,713 ",1.23 ,"417,431 ",4.13 ,"1,013,043 ",0.92 ,"309,131 ",3.06 ,"2,581,513 ",4.82 ,"688,097 ",13.97 ,"1,903,208 ",3.55 ,"506,714 ",10.28 ,"1,291,269 ",2.41 ,"398,304 ",8.08 ,"965,769 ",1.80 ,"294,518 ",5.98 
1961,"3,039,187 ",2.73 ,"798,228 ",7.76 ,"2,266,860 ",2.03 ,"592,146 ",5.75 ,"1,362,658 ",1.22 ,"421,302 ",4.09 ,"1,011,510 ",0.90 ,"308,468 ",3.00 ,"2,689,049 ",4.95 ,"713,125 ",14.22 ,"1,987,448 ",3.66 ,"524,073 ",10.45 ,"1,299,946 ",2.39 ,"401,752 ",8.01 ,"963,309 ",1.77 ,"293,577 ",5.85 
1962,"3,158,231 ",2.79 ,"825,280 ",7.88 ,"2,390,364 ",2.11 ,"618,795 ",5.91 ,"1,367,280 ",1.21 ,"423,374 ",4.04 ,"1,018,236 ",0.90 ,"310,347 ",2.96 ,"2,785,595 ",5.05 ,"734,934 ",14.39 ,"2,089,569 ",3.79 ,"545,882 ",10.69 ,"1,302,676 ",2.36 ,"403,199 ",7.89 ,"968,371 ",1.75 ,"294,940 ",5.77 
1963,"3,268,498 ",2.87 ,"849,799 ",7.98 ,"2,505,878 ",2.20 ,"643,142 ",6.03 ,"1,367,701 ",1.20 ,"424,002 ",3.98 ,"1,021,124 ",0.89 ,"310,910 ",2.91 ,"2,875,493 ",5.19 ,"754,838 ",14.53 ,"2,182,474 ",3.94 ,"565,201 ",10.88 ,"1,302,627 ",2.35 ,"403,662 ",7.77 ,"970,323 ",1.75 ,"295,224 ",5.68 
1964,"3,371,211 ",2.95 ,"872,262 ",8.05 ,"2,618,673 ",2.29 ,"666,773 ",6.15 ,"1,366,010 ",1.19 ,"423,853 ",3.91 ,"1,024,135 ",0.89 ,"311,444 ",2.87 ,"2,958,030 ",5.31 ,"772,671 ",14.62 ,"2,274,920 ",4.08 ,"584,290 ",11.05 ,"1,299,812 ",2.33 ,"403,133 ",7.63 ,"972,170 ",1.74 ,"295,400 ",5.59 
1965,"3,466,368 ",3.00 ,"898,405 ",8.15 ,"2,725,619 ",2.36 ,"689,996 ",6.26 ,"1,361,931 ",1.18 ,"428,503 ",3.88 ,"1,025,544 ",0.88 ,"314,547 ",2.85 ,"3,033,998 ",5.39 ,"794,204 ",14.78 ,"2,362,434 ",4.19 ,"603,362 ",11.22 ,"1,294,760 ",2.30 ,"407,234 ",7.57 ,"972,561 ",1.72 ,"298,080 ",5.54 
1966,"3,537,592 ",3.03 ,"917,540 ",8.19 ,"2,835,567 ",2.43 ,"714,195 ",6.37 ,"1,346,240 ",1.15 ,"428,932 ",3.82 ,"1,027,782 ",0.88 ,"317,877 ",2.83 ,"3,089,738 ",5.43 ,"809,777 ",14.82 ,"2,450,242 ",4.30 ,"622,776 ",11.40 ,"1,279,781 ",2.24 ,"407,691 ",7.46 ,"974,132 ",1.71 ,"301,099 ",5.51 
1967,"3,605,914 ",3.04 ,"936,006 ",8.22 ,"2,920,224 ",2.46 ,"731,705 ",6.42 ,"1,332,418 ",1.12 ,"429,675 ",3.77 ,"1,021,550 ",0.86 ,"318,169 ",2.79 ,"3,144,045 ",5.44 ,"825,109 ",14.86 ,"2,514,463 ",4.35 ,"635,895 ",11.45 ,"1,267,248 ",2.19 ,"408,690 ",7.36 ,"967,869 ",1.67 ,"301,302 ",5.42 
1968,"3,666,648 ",3.04 ,"952,490 ",8.23 ,"3,007,186 ",2.50 ,"750,527 ",6.48 ,"1,318,874 ",1.09 ,"430,162 ",3.71 ,"1,020,163 ",0.84 ,"320,041 ",2.76 ,"3,189,070 ",5.43 ,"837,673 ",14.84 ,"2,585,735 ",4.40 ,"651,286 ",11.54 ,"1,251,973 ",2.13 ,"408,347 ",7.23 ,"965,291 ",1.64 ,"302,658 ",5.36 
1969,"3,757,108 ",3.06 ,"978,602 ",8.32 ,"3,063,493 ",2.50 ,"760,457 ",6.47 ,"1,325,481 ",1.08 ,"437,896 ",3.72 ,"1,011,040 ",0.82 ,"318,843 ",2.71 ,"3,262,668 ",5.46 ,"859,459 ",14.99 ,"2,629,762 ",4.40 ,"658,620 ",11.49 ,"1,257,101 ",2.10 ,"415,192 ",7.24 ,"955,715 ",1.60 ,"301,078 ",5.25 
1970,"3,817,104 ",3.06 ,"996,504 ",8.34 ,"3,125,794 ",2.51 ,"773,358 ",6.47 ,"1,319,617 ",1.05 ,"441,309 ",3.69 ,"1,006,284 ",0.80 ,"319,553 ",2.67 ,"3,308,638 ",5.44 ,"873,805 ",15.01 ,"2,679,864 ",4.41 ,"668,997 ",11.49 ,"1,249,331 ",2.05 ,"417,754 ",7.17 ,"949,786 ",1.56 ,"301,353 ",5.17 
1971,"3,797,448 ",2.87 ,"1,013,759 ",8.10 ,"3,100,178 ",2.34 ,"790,123 ",6.31 ,"1,322,749 ",0.99 ,"440,902 ",3.52 ,"1,006,832 ",0.76 ,"318,929 ",2.54 ,"3,272,261 ",5.07 ,"887,034 ",14.53 ,"2,640,011 ",4.09 ,"682,375 ",11.18 ,"1,250,517 ",1.93 ,"416,621 ",6.82 ,"949,189 ",1.47 ,"300,278 ",4.92 
1972,"3,979,741 ",2.84 ,"1,029,293 ",7.86 ,"3,288,906 ",2.34 ,"809,133 ",6.18 ,"1,325,551 ",0.94 ,"439,796 ",3.35 ,"1,012,775 ",0.72 ,"319,814 ",2.44 ,"3,438,472 ",5.03 ,"898,703 ",14.07 ,"2,814,129 ",4.11 ,"697,872 ",10.93 ,"1,251,212 ",1.83 ,"414,773 ",6.49 ,"953,718 ",1.39 ,"300,653 ",4.70 
1973,"4,077,116 ",2.86 ,"1,050,975 ",7.69 ,"3,357,877 ",2.35 ,"823,259 ",6.02 ,"1,340,880 ",0.94 ,"443,465 ",3.24 ,"1,015,154 ",0.71 ,"319,327 ",2.33 ,"3,518,844 ",5.06 ,"916,297 ",13.74 ,"2,870,522 ",4.12 ,"709,059 ",10.63 ,"1,264,378 ",1.81 ,"417,680 ",6.26 ,"954,941 ",1.37 ,"299,749 ",4.49 
1974,"4,193,920 ",2.89 ,"1,078,354 ",7.57 ,"3,425,088 ",2.36 ,"836,548 ",5.87 ,"1,365,173 ",0.94 ,"450,381 ",3.16 ,"1,016,709 ",0.70 ,"318,446 ",2.23 ,"3,616,926 ",5.11 ,"939,178 ",13.51 ,"2,925,405 ",4.13 ,"719,518 ",10.35 ,"1,286,406 ",1.81 ,"423,807 ",6.10 ,"955,450 ",1.35 ,"298,499 ",4.29 
1975,"4,337,683 ",2.94 ,"1,099,777 ",7.42 ,"3,492,073 ",2.36 ,"854,852 ",5.76 ,"1,400,028 ",0.94 ,"447,821 ",3.02 ,"1,016,271 ",0.68 ,"313,994 ",2.11 ,"3,739,248 ",5.19 ,"956,088 ",13.22 ,"2,979,981 ",4.14 ,"733,878 ",10.15 ,"1,318,902 ",1.83 ,"421,042 ",5.82 ,"954,151 ",1.32 ,"293,839 ",4.06 
1976,"4,498,871 ",2.99 ,"1,137,811 ",7.38 ,"3,585,490 ",2.38 ,"873,823 ",5.67 ,"1,437,646 ",0.95 ,"458,479 ",2.97 ,"1,027,814 ",0.68 ,"315,539 ",2.04 ,"3,876,477 ",5.29 ,"988,480 ",13.16 ,"3,058,288 ",4.17 ,"749,426 ",9.97 ,"1,354,059 ",1.85 ,"430,925 ",5.73 ,"964,235 ",1.31 ,"294,959 ",3.92 
1977,"4,619,921 ",2.99 ,"1,188,464 ",7.49 ,"3,735,836 ",2.42 ,"901,716 ",5.68 ,"1,493,022 ",0.96 ,"490,812 ",3.09 ,"1,019,366 ",0.66 ,"311,465 ",1.96 ,"3,981,675 ",5.29 ,"1,034,015 ",13.36 ,"3,182,277 ",4.23 ,"771,906 ",9.97 ,"1,406,837 ",1.87 ,"461,762 ",5.96 ,"955,523 ",1.27 ,"290,868 ",3.75 
